career,skills
Software Architect,system design | design patterns | cqrs | domain-driven design | nosql | distributed systems | api design | service mesh | sql | event-driven architecture | message queues | technical leadership | performance optimization | database design | cloud | documentation | containerization | observability
ERP Developer,bapi/rfc | sql | erp systems | business processes | documentation | debugging | rest api | alv reports | cloud | java | user training | integration | change management | sap fiori | sap
Scrum Master,facilitation | conflict resolution | risk management | servant leadership | confluence | jira | sprint planning | velocity tracking | agile | team building | impediment removal | burn-down charts | scrum | kanban | communication
Product Designer,sketch | a/b testing | user flows | motion design | communication | design systems | data analysis | html/css | metrics | stakeholder management | accessibility | prototyping | competitive analysis | design sprints | user journey mapping | ux research | product strategy | figma
GraphQL Developer,docker | testing | typescript | apollo | federation | redis | dataloader | graphql | resolvers | git | react | subscriptions | sql | authentication | mongodb | postgresql
Systems Administrator,dhcp | windows server | virtualization | capacity planning | dns | monitoring | patch management | networking | active directory | bash | linux | cloud | nfs/smb | vmware | security
Database Administrator,redis | indexing | sql | postgresql | performance tuning | cloud | data modeling | bash | mysql | security | stored procedures | mongodb | backup recovery | high availability | oracle | linux
Game Developer,game design | git | level design | version control | 3d modeling | particle systems | c++ | performance optimization | audio design | ai behavior | unreal engine | multiplayer networking | game analytics | physics simulation | asset pipeline | shader programming
Ruby Developer,testing | caching | mvc architecture | git | ruby | rspec | html | postgresql | sql | linux | javascript | authentication | ruby on rails | cloud | sidekiq | docker
AR/VR Developer,c# | arkit/arcore | spatial computing | 3d audio | unity | gesture recognition | ux for xr | webxr | hololens sdk | unreal engine | shader programming | computer vision | haptics | animation | oculus sdk | xr development | physics simulation
AWS Solutions Architect,terraform | kubernetes | ecs/eks | cloud architecture | cloudformation | aws | cost optimization | s3 | migration | disaster recovery | serverless | lambda | docker | well-architected framework | high availability | networking
SEO Specialist,reporting | content strategy | e-commerce seo | google analytics | page speed optimization | competitive analysis | schema markup | international seo | html | content writing | ahrefs/semrush | google search console | wordpress | core web vitals | data analysis | keyword research | link building | local seo
Go Developer,kubernetes | redis | git | monitoring | bash | cloud | go | grpc | ci/cd | testing | rest api | microservices | security | performance optimization | networking | sql
Computer Vision Engineer,image segmentation | computer vision | image processing | data augmentation | opencv | object detection | point cloud | cuda | 3d vision | mathematics | deep learning | pytorch | ros | cnns | python | tensorflow | transfer learning
Data Engineer,redshift | data pipelines | bigquery | nosql | scala | snowflake | hadoop | sql | data warehousing | apache spark | apache airflow | pandas | cloud | python | etl | docker | linux | git
